ffy,stfips,st,legally_free_first_day,total_kids_in_care_first_day,per_leg_free_first_day,became_legally_free,exit_one_year,per_exit_one_year
2010,9,CT,788,3952,0.199392713,542,356,0.656826568
2010,41,OR,1196,7491,0.159658257,774,383,0.494832041
2011,27,MN,998,4106,0.243058938,623,307,0.492776886
2012,2,AK,372,1711,0.217416715,311,204,0.655948553
2012,22,LA,887,4093,0.216711459,607,389,0.640856672
2012,28,MS,496,3092,0.160413972,374,254,0.679144385
2012,31,NE,517,4382,0.117982656,594,415,0.698653199
2014,21,KY,1228,6569,0.186938651,1129,645,0.571302037
2015,10,DE,106,511,0.207436399,95,64,0.673684211
2015,13,GA,1245,8309,0.149837526,1029,620,0.602526725
2015,39,OH,2481,11063,0.22426105,1537,704,0.458035133
2015,48,TX,8704,28400,0.306478873,6280,3524,0.561146497
2016,11,DC,46,735,0.062585034,66,62,0.939393939
2016,40,OK,2285,10735,0.212855147,2578,974,0.377812258
2011,11,DC,104,1369,0.07596786,95,86,0.905263158
2011,34,NJ,961,6171,0.155728407,1092,766,0.701465201
2011,40,OK,2008,7466,0.268952585,1348,739,0.548219585
2012,21,KY,1123,5645,0.198937112,888,513,0.577702703
2012,27,MN,902,4163,0.21667067,703,371,0.527738265
2012,53,WA,1413,8766,0.161190965,1346,896,0.665676077
2012,56,WY,60,746,0.080428954,85,66,0.776470588
2013,8,CO,772,4121,0.187333172,634,340,0.536277603
2013,37,NC,1245,7451,0.167091666,1140,707,0.620175439
2014,24,MD,183,3701,0.049446096,265,224,0.845283019
2014,27,MN,1080,4921,0.219467588,924,489,0.529220779
2014,30,MT,366,2128,0.171992481,348,166,0.477011494
2014,56,WY,37,850,0.043529412,78,64,0.820512821
2015,72,PR,40,4874,0.008206812,7,1,0.142857143
2010,21,KY,1128,5714,0.19740987,975,539,0.552820513
2010,47,TN,666,5154,0.129220023,907,702,0.773980154
2010,50,VT,152,804,0.189054726,146,122,0.835616438
2010,53,WA,1979,9078,0.217999559,1506,975,0.647410359
2011,8,CO,1012,4814,0.210220191,770,430,0.558441558
2011,37,NC,1468,7610,0.192904074,1259,867,0.688641779
2012,50,VT,120,792,0.151515152,209,159,0.76076555
