ffy,stfips,st,age_at_start,age_at_lf,legally_free_first_day,total_kids_in_care_first_day,per_leg_free_first_day,became_legally_free,exit_one_year,per_exit_one_year
2010,1,AL,0,0,937,4739,0.197721038,529,256,0.483931947
2010,1,AL,1,1,195,1599,0.12195122,242,150,0.619834711
2010,1,AL,2,2,253,1087,0.23275069,144,63,0.4375
2010,1,AL,3,3,341,1328,0.256777108,126,35,0.277777778
2010,1,AL,4,4,148,725,0.204137931,17,8,0.470588235
2010,2,AK,0,0,393,1771,0.221908526,327,207,0.633027523
2010,2,AK,1,1,100,712,0.140449438,167,119,0.71257485
2010,2,AK,2,2,127,504,0.251984127,89,53,0.595505618
2010,2,AK,3,3,131,413,0.317191283,54,27,0.5
2010,2,AK,4,4,35,142,0.246478873,17,8,0.470588235
2010,4,AZ,0,0,2209,8544,0.258544007,2191,1559,0.711547239
2010,4,AZ,1,1,908,3594,0.252643294,1187,927,0.780960404
2010,4,AZ,2,2,620,2209,0.280669986,613,418,0.681892333
2010,4,AZ,3,3,534,1826,0.292442497,324,181,0.558641975
2010,4,AZ,4,4,147,915,0.160655738,67,33,0.492537313
2010,5,AR,0,0,803,3220,0.249378882,638,383,0.60031348
2010,5,AR,1,1,258,1277,0.202036022,367,278,0.757493188
2010,5,AR,2,2,267,809,0.330037083,155,78,0.503225806
2010,5,AR,3,3,212,735,0.288435374,98,23,0.234693878
2010,5,AR,4,4,66,399,0.165413534,18,4,0.222222222
2010,6,CA,0,0,8157,49933,0.163358901,5759,3568,0.619552006
2010,6,CA,1,1,3444,16224,0.212278107,3643,2445,0.671150151
2010,6,CA,2,2,2402,11361,0.211425051,1319,736,0.557998484
2010,6,CA,3,3,1698,13749,0.123499891,662,332,0.501510574
2010,6,CA,4,4,613,8599,0.071287359,135,55,0.407407407
2010,8,CO,0,0,1212,5097,0.237786933,765,411,0.537254902
2010,8,CO,1,1,458,1651,0.277407632,515,318,0.617475728
2010,8,CO,2,2,344,1015,0.338916256,175,71,0.405714286
2010,8,CO,3,3,303,1289,0.235065943,66,19,0.287878788
2010,8,CO,4,4,107,1142,0.093695271,9,3,0.333333333
2010,9,CT,0,0,788,3952,0.199392713,542,356,0.656826568
2010,9,CT,1,1,213,1232,0.17288961,310,238,0.767741935
2010,9,CT,2,2,176,726,0.242424242,132,71,0.537878788
2010,9,CT,3,3,263,1064,0.247180451,82,39,0.475609756
2010,9,CT,4,4,136,930,0.146236559,18,8,0.444444444
2010,10,DE,0,0,137,659,0.207890744,84,45,0.535714286
2010,10,DE,1,1,24,191,0.12565445,47,35,0.744680851
2010,10,DE,2,2,46,158,0.291139241,22,6,0.272727273
2010,10,DE,3,3,48,183,0.262295082,12,3,0.25
2010,10,DE,4,4,19,127,0.149606299,3,1,0.333333333
2010,11,DC,0,0,89,1368,0.06505848,103,75,0.72815534
2010,11,DC,1,1,19,402,0.047263682,54,47,0.87037037
2010,11,DC,2,2,30,331,0.090634441,25,14,0.56
